date,time,treatment,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
2021/11/5,06:30,control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/11/5,07:00,control,0,0,0,0,0,3,3,0,4,0,0,0,0,1,0,0,0,0,0,4,2,0,0,0,2,0,2,4,0,1,2,1,3,1,4,4,0,4,2
2021/11/5,07:30,control,0,7,0,5,3,3,6,2,1,4,4,2,0,2,6,7,7,1,5,3,3,0,2,1,3,6,3,3,0,5,4,3,2,1,2,3,2,2,2
2021/11/5,08:00,control,4,4,8,2,3,1,3,3,3,10,3,7,5,4,4,3,6,6,3,3,1,0,2,4,2,3,1,3,7,5,5,1,3,2,1,2,6,2,6
2021/11/5,08:30,control,2,3,2,2,0,2,1,2,1,6,5,4,5,2,1,2,1,5,1,1,4,1,3,2,1,1,2,2,6,1,2,1,2,3,2,2,3,1,1
2021/11/5,09:00,control,1,3,0,1,2,0,1,3,2,0,2,3,0,4,3,5,4,0,1,4,0,3,1,5,1,3,1,0,2,3,1,3,2,3,1,1,3,0,3
2021/11/5,09:30,control,2,3,3,2,3,3,1,1,1,0,1,1,1,4,2,2,3,1,3,1,1,5,4,3,1,0,0,1,3,1,3,0,3,3,5,3,3,1,0
2021/11/5,10:00,control,2,1,1,0,0,0,1,1,1,0,3,0,2,1,1,1,1,0,0,2,1,2,1,3,3,1,3,2,1,2,1,0,1,2,1,0,0,3,4
2021/11/5,10:30,control,1,1,0,2,0,0,0,2,0,1,1,3,3,0,2,2,1,3,2,3,1,3,1,0,0,3,0,0,1,0,0,0,1,2,0,0,2,0,0
2021/11/5,11:00,control,1,0,3,0,1,3,1,2,2,0,1,2,2,4,3,3,2,2,2,1,1,1,2,0,1,1,1,2,3,1,0,1,1,2,0,1,2,2,2
2021/11/5,11:30,control,2,0,0,2,1,1,1,0,2,0,1,1,0,1,1,0,0,0,0,3,1,1,1,1,1,2,1,0,1,1,0,1,0,0,0,1,0,1,0
2021/11/5,12:00,control,1,0,1,0,1,0,2,1,1,0,2,0,0,1,0,3,1,1,1,1,0,0,3,4,0,1,3,0,1,1,1,0,3,0,0,1,1,0,0
2021/11/5,06:30,warming,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,4,0,0,0,0,0,0,0,0,0,0,0,7,0,,,,,,,,,
2021/11/5,07:00,warming,5,6,6,6,4,0,4,2,2,4,0,5,3,1,12,5,2,0,10,1,2,0,3,4,2,7,7,1,5,5,,,,,,,,,
2021/11/5,07:30,warming,3,4,2,1,5,1,1,7,4,4,6,4,5,2,6,5,3,0,9,3,5,7,1,3,1,2,4,4,3,2,,,,,,,,,
2021/11/5,08:00,warming,1,3,2,0,1,2,4,3,0,3,1,3,3,0,3,1,2,1,2,2,5,5,4,1,1,4,4,2,4,1,,,,,,,,,
2021/11/5,08:30,warming,2,1,3,3,4,6,1,4,3,4,3,0,1,3,2,5,2,3,0,2,4,2,1,1,1,2,1,4,3,1,,,,,,,,,
2021/11/5,09:00,warming,1,3,2,2,3,5,3,2,1,3,3,4,3,0,3,6,2,2,3,3,3,0,1,2,3,0,1,1,3,5,,,,,,,,,
2021/11/5,09:30,warming,2,1,2,2,6,1,2,4,1,2,2,1,1,1,4,0,2,4,4,0,3,3,3,2,2,2,4,5,0,3,,,,,,,,,
2021/11/5,10:00,warming,1,1,3,1,2,2,3,1,2,3,2,1,2,0,3,0,2,3,2,1,0,0,0,0,2,1,1,3,3,1,,,,,,,,,
2021/11/5,10:30,warming,2,4,2,0,0,2,1,2,1,2,2,2,2,2,0,5,1,1,2,2,1,3,1,2,4,2,1,3,1,4,,,,,,,,,
2021/11/5,11:00,warming,1,0,2,0,2,2,1,1,0,1,5,0,0,1,0,3,3,1,1,1,2,1,2,0,0,0,3,2,0,1,,,,,,,,,
2021/11/5,11:30,warming,2,1,1,3,0,1,1,2,1,0,0,3,2,1,1,0,0,1,0,2,0,1,0,1,1,1,1,1,1,2,,,,,,,,,
2021/11/5,12:00,warming,1,1,2,0,1,0,1,2,1,4,2,2,1,0,0,1,1,2,1,0,2,5,1,1,5,0,1,1,3,3,,,,,,,,,
